GlobalTick;ProblemType;ResourceType;PmId;VmId;AppId;CPUAll;MEMAll;STORAll;CPUUse;MEMUse;STORUse
3193;slaViolation;APP;2;12;11;30;31;62;33;18;10
3194;slaViolation;APP;4;13;11;30;31;62;33;18;10
3195;slaViolation;APP;4;13;11;30;31;62;33;18;10
3196;slaViolation;APP;1;14;11;30;31;62;33;18;10
3197;slaViolation;APP;3;15;11;30;31;62;33;18;10
3198;slaViolation;APP;3;15;11;30;31;62;33;18;10
3199;wasteOfResources;PM;2;;;0;0;0;0;0;0;
3200;wasteOfResources;PM;2;;;0;0;0;0;0;0;
3202;wasteOfResources;VM;3;15;;30;31;62;32;26;13;
3203;wasteOfResources;VM;3;15;;30;31;62;41;23;16;
3204;wasteOfResources;VM;3;15;;30;31;62;40;25;14;
3205;wasteOfResources;VM;3;15;;30;31;62;38;23;15;
3206;slaViolation;APP;4;15;11;30;31;62;33;18;13
3207;slaViolation;APP;4;15;11;30;31;62;33;18;13
3208;slaViolation;APP;4;15;11;30;31;62;33;18;13
3209;slaViolation;APP;4;15;11;30;31;62;33;18;13
3210;slaViolation;APP;3;16;11;30;31;62;33;18;13
3211;slaViolation;APP;3;16;11;30;31;62;33;18;13
3212;wasteOfResources;VM;4;15;;30;31;62;5;5;2;
3213;wasteOfResources;VM;1;1;;15;15;9;5;5;2;
3214;wasteOfResources;VM;1;1;;15;15;9;5;5;2;
3215;wasteOfResources;VM;3;15;;30;31;62;5;5;2;
3216;wasteOfResources;VM;1;15;;30;31;62;5;5;2;
3217;wasteOfResources;VM;3;15;;30;31;62;5;5;2;
3218;wasteOfResources;VM;4;1;;15;15;9;5;5;2;
3219;wasteOfResources;VM;4;1;;15;15;9;5;5;2;
3220;wasteOfResources;VM;3;1;;15;15;9;5;5;2;
3221;wasteOfResources;VM;4;1;;15;15;9;5;5;2;
3222;wasteOfResources;VM;3;1;;15;15;9;5;5;2;
3223;wasteOfResources;VM;4;1;;15;15;9;5;5;2;
3224;wasteOfResources;VM;3;1;;15;15;9;5;5;2;
3225;wasteOfResources;VM;3;16;;30;31;62;36;20;14;
3234;wasteOfResources;VM;1;2;;15;15;9;5;5;2;
3235;wasteOfResources;VM;1;2;;15;15;9;5;5;2;
3236;wasteOfResources;VM;1;11;;22;34;13;29;19;18;
3237;wasteOfResources;VM;1;11;;22;34;13;32;24;19;
3238;wasteOfResources;VM;1;11;;22;34;13;36;25;22;
3239;wasteOfResources;VM;1;11;;22;34;13;42;19;18;
3275;wasteOfResources;VM;3;16;;30;31;22;37;27;14;
3276;slaViolation;APP;4;16;11;30;31;22;32;22;12
3277;slaViolation;APP;3;17;11;30;31;62;32;22;12
3278;slaViolation;APP;3;17;11;30;31;62;32;22;12
3279;wasteOfResources;VM;3;1;;15;15;9;5;5;2;
3280;wasteOfResources;VM;4;1;;15;15;9;5;5;2;
3281;wasteOfResources;VM;4;1;;15;15;9;5;5;2;
3282;wasteOfResources;VM;3;17;;30;31;62;43;25;14;
3285;wasteOfResources;VM;1;2;;15;15;9;5;5;2;
3289;wasteOfResources;VM;1;11;;22;35;13;43;22;16;
3290;slaViolation;APP;4;11;20;22;35;13;38;17;14
3291;slaViolation;APP;4;11;20;22;35;13;38;17;14
3292;slaViolation;APP;4;11;20;22;35;13;38;17;14
3293;wasteOfResources;PM;1;;;15;15;9;5;5;2;
3294;wasteOfResources;PM;1;;;15;15;9;5;5;2;
3295;wasteOfResources;PM;1;;;15;15;9;5;5;2;
3296;wasteOfResources;PM;1;;;15;15;9;5;5;2;
3297;wasteOfResources;VM;4;11;;22;35;13;41;14;22;
3298;wasteOfResources;VM;4;11;;22;35;13;33;17;16;
3332;wasteOfResources;VM;3;17;;30;31;22;40;26;14;
3333;wasteOfResources;VM;4;1;;15;15;9;5;5;2;
3334;wasteOfResources;VM;3;1;;15;15;9;5;5;2;
3335;wasteOfResources;VM;4;1;;15;15;9;5;5;2;
3336;wasteOfResources;VM;3;1;;15;15;9;5;5;2;
3337;wasteOfResources;VM;3;1;;15;15;9;5;5;2;
3338;wasteOfResources;VM;3;1;;15;15;9;5;5;2;
3339;wasteOfResources;VM;4;2;;15;15;9;5;5;2;
3340;wasteOfResources;VM;3;2;;15;15;9;5;5;2;
3341;wasteOfResources;VM;3;17;;30;31;22;36;25;14;
3342;slaViolation;APP;4;17;11;30;31;22;31;20;12
3343;slaViolation;APP;3;18;11;30;31;62;31;20;12
3344;slaViolation;APP;3;18;11;30;31;62;31;20;12
3345;wasteOfResources;VM;4;17;;30;31;22;5;5;2;
3348;wasteOfResources;VM;3;18;;30;31;62;38;28;15;
3349;wasteOfResources;VM;4;11;;22;32;13;37;19;16;
3350;wasteOfResources;VM;4;11;;22;32;13;41;22;20;
3389;wasteOfResources;VM;3;1;;15;15;9;5;5;2;
3393;wasteOfResources;VM;3;2;;15;15;9;5;5;2;
3394;wasteOfResources;VM;3;2;;15;15;9;5;5;2;
3395;wasteOfResources;VM;4;2;;15;15;9;5;5;2;
3398;wasteOfResources;VM;3;18;;30;31;22;38;24;14;
3400;wasteOfResources;VM;4;11;;22;34;13;37;24;18;
3401;slaViolation;APP;3;11;20;22;34;13;32;19;16
3402;slaViolation;APP;3;11;20;22;34;13;32;19;16
3403;slaViolation;APP;3;11;20;22;34;13;32;19;16
3404;slaViolation;APP;4;19;20;22;52;13;32;19;16
3405;slaViolation;APP;4;19;20;22;52;13;32;19;16
3409;wasteOfResources;VM;4;19;;22;52;13;28;17;18;
3439;wasteOfResources;VM;3;1;;15;15;9;5;5;2;
3440;wasteOfResources;VM;4;1;;15;15;9;5;5;2;
3441;wasteOfResources;VM;3;1;;15;15;9;5;5;2;
3442;wasteOfResources;VM;4;1;;15;15;9;5;5;2;
3443;wasteOfResources;VM;4;1;;15;15;9;5;5;2;
3444;wasteOfResources;VM;3;1;;15;15;9;5;5;2;
3448;wasteOfResources;VM;4;2;;15;15;9;5;5;2;
3449;wasteOfResources;VM;3;2;;15;15;9;5;5;2;
3450;wasteOfResources;VM;3;18;;30;31;21;33;26;12;
3451;wasteOfResources;VM;3;18;;30;31;21;42;22;14;
3452;wasteOfResources;VM;3;18;;30;31;21;41;23;15;
3453;slaViolation;APP;4;18;11;30;31;21;36;18;13
3454;slaViolation;APP;3;20;11;30;31;62;36;18;13
3455;slaViolation;APP;3;20;11;30;31;62;36;18;13
3456;wasteOfResources;VM;4;18;;30;31;21;5;5;2;
3457;wasteOfResources;VM;3;18;;30;31;21;5;5;2;
3458;wasteOfResources;VM;4;18;;30;31;21;5;5;2;
3459;wasteOfResources;VM;3;18;;30;31;21;5;5;2;
3460;wasteOfResources;VM;3;18;;30;31;21;5;5;2;
3461;wasteOfResources;VM;4;18;;30;31;21;5;5;2;
