@relation cpu

@attribute CPU8ALL numeric
@attribute CPU9ALL numeric
@attribute CPU10ALL numeric
@attribute CPU8USE numeric
@attribute CPU9USE numeric
@attribute CPU10USE numeric
@attribute MEM8ALL numeric
@attribute MEM9ALL numeric
@attribute MEM10ALL numeric
@attribute MEM8USE numeric
@attribute MEM9USE numeric
@attribute MEM10USE numeric
@attribute STOR8ALL numeric
@attribute STOR9ALL numeric
@attribute STOR10ALL numeric
@attribute STOR8USE numeric
@attribute STOR9USE numeric
@attribute STOR10USE numeric
@attribute SLACpu numeric
@attribute SLAMemory numeric
@attribute SLAStorage numeric
@attribute EVAL numeric

@data
50,50,80,30,30,30,40,40,70,30,40,40,20,20,80,30,30,30,30,20,50,-12.466667
0,0,30,10,10,10,0,0,20,20,30,30,0,0,50,20,20,20,30,20,50,-12.941176
50,50,80,30,30,30,40,40,70,40,40,40,20,20,80,30,30,30,30,20,50,-12.466667
50,50,70,40,40,30,40,40,70,40,50,50,60,60,80,30,30,30,20,20,10,-12.505882
0,0,50,0,10,10,0,0,20,20,10,20,0,0,50,20,10,10,50,10,50,-8.745098
0,0,60,0,10,0,0,0,20,20,30,30,0,0,60,20,20,10,50,20,50,-17.941176
0,0,60,0,10,0,0,0,20,20,30,30,0,0,60,20,20,10,50,20,50,-17.941176
0,0,60,0,10,0,0,0,20,20,30,30,0,0,60,20,20,10,50,20,50,-17.941176
0,0,60,0,10,0,0,0,20,20,30,30,0,0,60,20,20,10,50,20,50,-17.941176
0,0,60,0,10,0,0,0,20,20,30,30,0,0,60,20,20,10,50,20,50,-17.694118
0,0,60,0,10,0,0,0,20,20,30,30,0,0,60,20,20,10,50,20,50,-17.941176
20,20,60,10,10,10,20,20,50,20,20,20,30,30,80,20,20,20,30,20,50,-16.72549
0,0,50,10,10,10,0,0,20,20,10,10,0,0,50,20,10,30,50,10,50,-21.941176
0,0,50,10,10,10,0,0,20,20,10,10,0,0,50,20,10,30,50,10,50,-21.941176
0,0,50,10,10,10,0,0,20,20,10,10,0,0,50,20,10,30,50,10,50,-21.941176
0,0,50,10,10,10,0,0,20,20,10,10,0,0,50,20,10,30,50,10,50,-21.737255
0,0,50,10,10,10,0,0,20,20,10,10,0,0,50,20,10,30,50,10,50,-21.941176
0,0,50,10,10,10,0,0,20,20,10,10,0,0,50,20,10,30,50,10,50,-21.941176
0,0,50,10,10,10,0,0,20,20,10,10,0,0,50,20,10,30,50,10,50,-21.941176
0,0,50,10,10,10,0,0,20,20,10,10,0,0,50,20,10,30,50,10,50,-21.737255
0,0,20,0,0,0,0,0,30,0,0,0,0,0,20,0,0,0,20,20,10,-5.709804
20,20,90,20,20,20,30,30,50,10,10,10,20,20,50,0,10,10,50,20,30,0.521569
60,60,90,50,60,60,20,20,50,20,30,50,30,30,50,20,20,20,20,20,10,-9.713725
0,0,60,0,0,0,0,0,30,0,0,0,0,0,30,0,0,0,50,20,30,-5.521569
70,70,90,40,50,50,50,50,90,30,40,30,40,40,60,20,20,30,20,20,10,-11.713725
40,40,80,20,20,20,20,20,50,10,20,0,20,20,80,10,20,10,30,20,50,0.537255
40,40,70,40,40,40,30,30,60,30,30,40,20,20,40,20,20,20,20,20,10,-12.52549
40,40,100,40,60,40,30,30,90,30,30,40,20,20,60,30,20,20,20,20,10,-12.52549
40,40,100,0,0,0,20,20,80,0,0,0,20,20,60,0,0,0,50,50,30,0.372549
40,40,80,30,30,30,50,50,80,20,30,30,30,30,80,10,20,10,30,20,50,0.607843
60,60,100,30,30,40,70,70,90,40,60,70,40,40,90,30,40,30,30,20,50,-1.396078
0,0,30,10,10,10,0,0,20,20,20,30,0,0,50,20,20,20,30,20,50,-1.941176
60,60,100,30,30,40,70,70,90,40,70,60,40,40,90,30,40,40,30,20,50,-1.396078
0,0,60,0,0,0,0,0,20,0,0,0,0,0,60,0,0,0,50,20,50,-5.670588
60,60,90,10,10,10,20,20,70,40,40,20,60,60,90,20,10,20,20,40,30,-1.686275
50,50,80,30,40,40,50,50,80,60,60,60,30,30,80,40,30,30,30,20,50,-5.627451
40,40,70,40,30,30,40,40,70,50,40,50,20,20,80,30,30,30,30,20,50,-5.705882
20,20,60,20,20,20,20,20,50,50,60,60,30,30,80,40,40,30,30,20,50,-5.713725
50,50,80,40,30,40,50,50,80,60,50,80,30,30,80,40,40,40,30,20,50,-5.627451
40,40,70,20,40,40,40,40,70,40,50,50,20,20,80,30,30,30,30,20,50,-5.705882
20,20,60,20,20,20,20,20,50,60,60,60,30,30,80,40,40,40,30,20,50,-5.713725
0,0,60,10,10,0,0,0,20,30,40,20,0,0,60,10,20,10,50,20,50,-9.941176
0,0,60,10,10,0,0,0,20,30,40,20,0,0,60,10,20,10,50,20,50,-9.941176
0,0,60,10,10,0,0,0,20,30,40,20,0,0,60,10,20,10,50,20,50,-9.941176
40,40,100,30,30,40,40,40,70,50,60,60,20,20,80,20,30,20,50,20,50,-9.466667
0,0,60,10,10,0,0,0,20,30,40,20,0,0,60,10,20,10,50,20,50,-9.941176
40,40,100,30,30,40,40,40,70,60,70,40,20,20,80,20,30,20,50,20,50,-9.466667
40,40,100,10,10,10,60,60,80,20,30,20,30,30,80,10,10,10,50,10,50,0.270588
50,50,80,40,30,40,50,50,80,60,40,60,30,30,80,30,40,40,30,20,50,-8.615686
50,50,80,40,40,30,50,50,80,60,50,60,30,30,80,40,40,40,30,20,50,-9.403922
20,20,60,20,20,20,40,40,70,50,60,60,20,20,70,30,30,30,30,20,50,-9.941176
50,50,80,40,30,30,50,50,80,60,50,30,30,30,80,30,40,40,30,20,50,-9.411765
20,20,80,0,0,0,40,40,80,0,0,0,20,20,40,0,0,0,50,20,20,0.239216
0,0,50,10,20,10,0,0,20,10,10,20,0,0,50,10,20,30,50,10,50,-0.733333
40,40,70,20,20,30,20,20,40,40,50,40,30,30,90,40,40,40,30,20,50,-13.709804
0,0,30,10,10,10,0,0,20,20,20,20,0,0,50,20,20,20,30,20,50,-13.941176
40,40,70,30,20,20,20,20,40,40,40,40,30,30,90,40,40,40,30,20,50,-13.709804
60,60,90,10,10,10,60,60,80,20,20,20,30,30,90,20,20,20,30,20,50,-13.72549
