@relation cpu

@attribute CPU8ALL numeric
@attribute CPU9ALL numeric
@attribute CPU10ALL numeric
@attribute CPU8USE numeric
@attribute CPU9USE numeric
@attribute CPU10USE numeric
@attribute MEM8ALL numeric
@attribute MEM9ALL numeric
@attribute MEM10ALL numeric
@attribute MEM8USE numeric
@attribute MEM9USE numeric
@attribute MEM10USE numeric
@attribute STOR8ALL numeric
@attribute STOR9ALL numeric
@attribute STOR10ALL numeric
@attribute STOR8USE numeric
@attribute STOR9USE numeric
@attribute STOR10USE numeric
@attribute SLACpu numeric
@attribute SLAMemory numeric
@attribute SLAStorage numeric
@attribute EVAL numeric

@data
50,50,80,50,50,40,30,30,80,30,30,20,50,50,70,30,30,30,20,50,10,-16.498039
40,40,70,20,30,30,40,40,100,10,10,10,20,20,40,20,20,20,20,50,10,-20.941176
30,30,60,30,30,30,10,10,70,30,30,30,20,20,40,30,40,40,20,50,10,-20.756863
30,30,60,40,20,30,10,10,70,30,30,20,20,20,40,40,30,30,20,50,10,-20.760784
0,0,20,20,20,20,0,0,50,0,10,0,0,0,10,20,20,20,20,50,10,-20.713725
10,10,50,10,10,10,10,10,40,10,20,20,0,0,50,20,10,20,30,20,40,-6.941176
10,10,90,10,10,10,10,10,70,10,20,20,0,0,90,20,10,20,30,20,40,-6.941176
20,20,70,50,40,40,30,30,50,20,30,30,10,10,60,40,30,40,30,20,40,-6.482353
0,0,20,30,20,20,0,0,50,10,10,10,0,0,10,20,10,10,20,50,10,-22.941176
30,30,60,40,30,30,10,10,70,30,30,30,20,20,40,30,30,20,20,50,10,-22.509804
20,20,60,40,30,40,20,20,40,30,30,40,10,10,60,40,30,30,30,10,40,-17.517647
60,60,90,30,40,40,40,40,100,20,30,20,50,50,60,30,40,30,20,50,10,-24.533333
0,0,20,0,0,0,0,0,30,0,0,0,0,0,60,0,0,0,20,20,50,-5.686275
50,50,90,40,30,30,60,60,70,30,20,30,30,30,80,30,30,40,30,10,40,-19.533333
40,40,70,20,20,20,40,40,90,20,20,20,40,40,80,10,20,10,20,40,40,0.498039
0,0,20,20,20,20,0,0,30,10,20,20,0,0,60,10,10,10,20,20,50,-14.941176
50,50,80,50,60,50,60,60,90,30,40,30,30,30,90,30,30,30,20,20,50,-14.67451
0,0,20,20,20,20,0,0,30,10,20,20,0,0,60,10,10,10,20,20,50,-14.686275
50,50,80,50,50,50,60,60,90,30,30,30,30,30,90,20,30,30,20,20,50,-14.67451
0,0,20,20,20,20,0,0,30,10,20,20,0,0,60,10,10,10,20,20,50,-14.941176
0,0,20,20,20,20,0,0,30,10,20,20,0,0,60,10,10,10,20,20,50,-14.941176
50,50,80,60,60,50,60,60,90,30,40,20,30,30,90,30,20,30,20,20,50,-14.67451
0,0,50,30,30,20,0,0,80,0,10,10,0,0,70,20,10,20,20,50,10,-27.941176
0,0,20,30,30,20,0,0,50,0,10,10,0,0,10,20,10,20,20,50,10,-27.713725
40,40,80,0,10,10,30,30,50,20,20,20,30,30,80,20,10,10,30,10,40,-23.764706
