GlobalTick;PmId;VmId;AppId;Action;Preconditions;Estimation;Prediction;DestinationPmId;DestinationVmId
2577;;;63;TurnOffPmAndMoveVms;false;0;68;;;0
2627;;;64;CreateVmInsertApp;false;0;56;;;0
2627;;;64;CreateAppInsertIntoVm;true;3;84;;4;6
2627;;;64;MoveApp;false;5;36;;;0
2627;;;64;MoveVm;false;0;20;;;0
2627;;;64;DoNothing;true;0;0;;;0
2627;;;64;Outsource;true;50;0;;;0
2627;;;64;TurnOffPmAndMoveVms;false;0;15;;;0
2642;;;65;CreateVmInsertApp;false;0;81;;;0
2642;;;65;CreateAppInsertIntoVm;true;3;25;;3;6
2642;;;65;MoveApp;false;5;54;;;0
2642;;;65;MoveVm;false;0;96;;;0
2642;;;65;DoNothing;true;0;0;;;0
2642;;;65;Outsource;true;50;0;;;0
2642;;;65;TurnOffPmAndMoveVms;false;0;7;;;0
2643;;;66;CreateVmInsertApp;false;0;0;;;0
2643;;;66;CreateAppInsertIntoVm;true;3;53;;9;6
2643;;;66;MoveApp;false;5;21;;;0
2643;;;66;MoveVm;false;0;76;;;0
2643;;;66;DoNothing;true;0;0;;;0
2643;;;66;Outsource;true;50;0;;;0
2643;;;66;TurnOffPmAndMoveVms;false;0;62;;;0
2644;;;67;CreateVmInsertApp;false;0;65;;;0
2644;;;67;CreateAppInsertIntoVm;true;3;82;;1;6
2644;;;67;MoveApp;false;5;17;;;0
2644;;;67;MoveVm;false;0;63;;;0
2644;;;67;DoNothing;true;0;0;;;0
2644;;;67;Outsource;true;50;0;;;0
2644;;;67;TurnOffPmAndMoveVms;false;0;78;;;0
2718;;;68;CreateVmInsertApp;false;0;33;;;0
2718;;;68;CreateAppInsertIntoVm;true;3;16;;10;6
2718;;;68;MoveApp;false;5;37;;;0
2718;;;68;MoveVm;false;0;59;;;1
2718;;;68;DoNothing;true;0;0;;;0
2718;;;68;Outsource;true;50;0;;;0
2718;;;68;TurnOffPmAndMoveVms;false;0;79;;;0
2719;;;69;CreateVmInsertApp;false;0;69;;;0
2719;;;69;CreateAppInsertIntoVm;true;3;85;;8;6
2719;;;69;MoveApp;false;5;74;;;0
2719;;;69;MoveVm;false;0;3;;;0
2719;;;69;DoNothing;true;0;0;;;0
2719;;;69;Outsource;true;50;0;;;0
2719;;;69;TurnOffPmAndMoveVms;false;0;32;;;0
2998;;;70;CreateVmInsertApp;false;0;82;;;0
2998;;;70;CreateAppInsertIntoVm;true;3;73;;6;6
2998;;;70;MoveApp;false;5;39;;;0
2998;;;70;MoveVm;false;0;6;;;0
2998;;;70;DoNothing;true;0;0;;;0
2998;;;70;Outsource;true;50;0;;;0
2998;;;70;TurnOffPmAndMoveVms;false;0;45;;;0
3007;;;71;CreateVmInsertApp;false;0;74;;;0
3007;;;71;CreateAppInsertIntoVm;true;3;24;;7;5
3007;;;71;MoveApp;false;5;91;;;0
3007;;;71;MoveVm;false;0;55;;;0
3007;;;71;DoNothing;true;0;0;;;0
